Time,DecimalCode
8.584343e-06,11
8.603951e-06,10
8.623559e-06,8
8.643167e-06,7
8.662775e-06,7
8.682383e-06,5
8.701990e-06,4
8.721598e-06,4
8.741206e-06,3
8.760814e-06,2
8.780422e-06,1
8.800030e-06,1
8.819637e-06,1
8.839245e-06,1
8.858853e-06,0
8.878461e-06,0
8.898069e-06,0
8.917677e-06,0
8.937285e-06,1
8.956892e-06,1
8.976500e-06,1
8.996108e-06,2
9.015716e-06,2
9.035324e-06,2
9.054932e-06,4
9.074539e-06,4
9.094147e-06,6
9.113755e-06,6
9.133363e-06,7
9.152971e-06,9
9.172579e-06,9
9.192186e-06,11
9.211794e-06,12
9.231402e-06,13
9.251010e-06,15
9.270618e-06,15
9.290226e-06,17
9.309834e-06,19
9.329441e-06,19
9.349049e-06,21
9.368657e-06,22
9.388265e-06,23
9.407873e-06,25
9.427481e-06,25
9.447088e-06,26
9.466696e-06,27
9.486304e-06,28
9.505912e-06,28
9.525520e-06,28
9.545128e-06,28
9.564735e-06,28
9.584343e-06,28
9.603951e-06,28
9.623559e-06,28
9.643167e-06,28
9.662775e-06,28
9.682383e-06,28
9.701990e-06,28
9.721598e-06,28
9.741206e-06,28
9.760814e-06,28
9.780422e-06,28
9.800030e-06,28
9.819637e-06,28
9.839245e-06,28
9.858853e-06,28
9.878461e-06,26
9.898069e-06,25
9.917677e-06,24
9.937285e-06,23
9.956892e-06,22
9.976500e-06,20
9.996108e-06,19
1.001572e-05,18
1.003532e-05,17
1.005493e-05,16
1.007454e-05,14
1.009415e-05,13
1.011376e-05,11
1.013336e-05,11
1.015297e-05,9
1.017258e-05,8
1.019219e-05,7
1.021179e-05,6
1.023140e-05,6
1.025101e-05,4
1.027062e-05,3
1.029023e-05,3
1.030983e-05,2
1.032944e-05,1
1.034905e-05,1
1.036866e-05,1
1.038826e-05,0
1.040787e-05,0
1.042748e-05,0
1.044709e-05,0
1.046670e-05,1
1.048630e-05,0
1.050591e-05,1
1.052552e-05,2
1.054513e-05,1
1.056474e-05,3
1.058434e-05,2
1.060395e-05,4
1.062356e-05,5
1.064317e-05,5
1.066277e-05,7
1.068238e-05,7
1.070199e-05,9
1.072160e-05,10
1.074121e-05,11
1.076081e-05,12
1.078042e-05,14
1.080003e-05,15
1.081964e-05,16
1.083925e-05,17
1.085885e-05,18
1.087846e-05,20
1.089807e-05,21
1.091768e-05,23
1.093728e-05,23
1.095689e-05,25
1.097650e-05,25
1.099611e-05,27
1.101572e-05,27
1.103532e-05,28
1.105493e-05,28
1.107454e-05,28
1.109415e-05,28
1.111376e-05,28
1.113336e-05,28
1.115297e-05,28
1.117258e-05,28
1.119219e-05,28
1.121179e-05,28
1.123140e-05,28
1.125101e-05,28
1.127062e-05,28
1.129023e-05,28
1.130983e-05,28
1.132944e-05,28
1.134905e-05,28
1.136866e-05,28
1.138826e-05,28
1.140787e-05,28
1.142748e-05,25
1.144709e-05,25
1.146670e-05,24
1.148630e-05,23
1.150591e-05,21
1.152552e-05,20
1.154513e-05,19
1.156474e-05,18
1.158434e-05,16
1.160395e-05,16
1.162356e-05,13
1.164317e-05,13
1.166277e-05,12
1.168238e-05,10
1.170199e-05,9
1.172160e-05,8
1.174121e-05,6
1.176081e-05,6
1.178042e-05,5
1.180003e-05,4
1.181964e-05,3
1.183925e-05,3
1.185885e-05,2
1.187846e-05,1
1.189807e-05,1
1.191768e-05,0
1.193728e-05,1
1.195689e-05,0
1.197650e-05,0
1.199611e-05,0
1.201572e-05,0
1.203532e-05,1
1.205493e-05,1
1.207454e-05,1
1.209415e-05,2
1.211376e-05,3
1.213336e-05,3
1.215297e-05,4
1.217258e-05,4
1.219219e-05,6
1.221179e-05,7
1.223140e-05,8
1.225101e-05,9
1.227062e-05,10
1.229023e-05,11
1.230983e-05,13
1.232944e-05,13
1.234905e-05,15
1.236866e-05,17
1.238826e-05,17
1.240787e-05,19
1.242748e-05,20
1.244709e-05,22
1.246670e-05,22
1.248630e-05,24
1.250591e-05,25
1.252552e-05,26
1.254513e-05,26
1.256474e-05,28
1.258434e-05,28
1.260395e-05,28
1.262356e-05,28
1.264317e-05,28
1.266277e-05,28
1.268238e-05,28
1.270199e-05,28
1.272160e-05,28
1.274121e-05,28
1.276081e-05,28
1.278042e-05,28
1.280003e-05,28
1.281964e-05,28
1.283925e-05,28
1.285885e-05,28
1.287846e-05,28
1.289807e-05,28
1.291768e-05,28
1.293728e-05,28
1.295689e-05,27
1.297650e-05,26
1.299611e-05,24
1.301572e-05,24
1.303532e-05,22
1.305493e-05,21
1.307454e-05,20
1.309415e-05,19
1.311376e-05,17
1.313336e-05,17
1.315297e-05,14
1.317258e-05,14
1.319219e-05,12
1.321179e-05,12
1.323140e-05,9
1.325101e-05,9
1.327062e-05,8
1.329023e-05,6
1.330983e-05,6
1.332944e-05,5
1.334905e-05,3
1.336866e-05,3
1.338826e-05,3
1.340787e-05,1
1.342748e-05,2
1.344709e-05,1
1.346670e-05,0
1.348630e-05,0
1.350591e-05,0
1.352552e-05,0
1.354513e-05,1
1.356474e-05,0
1.358434e-05,1
1.360395e-05,1
1.362356e-05,2
1.364317e-05,2
1.366277e-05,2
1.368238e-05,4
1.370199e-05,4
1.372160e-05,5
1.374121e-05,6
1.376081e-05,7
1.378042e-05,8
1.380003e-05,9
1.381964e-05,10
1.383925e-05,12
1.385885e-05,13
1.387846e-05,14
1.389807e-05,15
1.391768e-05,17
1.393728e-05,18
1.395689e-05,19
1.397650e-05,20
1.399611e-05,22
1.401572e-05,23
1.403532e-05,24
1.405493e-05,25
1.407454e-05,26
1.409415e-05,27
1.411376e-05,28
1.413336e-05,28
1.415297e-05,28
1.417258e-05,28
1.419219e-05,28
1.421179e-05,28
1.423140e-05,28
1.425101e-05,28
1.427062e-05,28
1.429023e-05,28
1.430983e-05,28
1.432944e-05,28
1.434905e-05,28
1.436866e-05,28
1.438826e-05,28
1.440787e-05,28
1.442748e-05,28
1.444709e-05,28
